locker_id,avg_cleared,avg_S_end,capacity,avg_clear_cap,clear_utilization
PL001,38.58586342857143,23.36286714285714,30.0,60.0,0.6430977238095238
PL002,36.57142857142857,29.87101742857143,38.0,60.0,0.6095238095238095
PL003,40.285714142857145,50.77710557142857,55.0,60.0,0.671428569047619
PL004,34.714285714285715,50.846482,61.0,60.0,0.5785714285714286
PL005,36.714285857142855,55.14236628571429,73.0,60.0,0.6119047642857143
PL006,34.42857134285715,55.34931857142857,78.0,60.0,0.5738095223809524
PL007,32.028571428571425,43.41142857142857,49.0,60.0,0.5338095238095237
PL008,30.57142842857143,57.74025971428572,78.0,60.0,0.5095238071428572
PL009,36.142857142857146,33.03844142857143,40.0,60.0,0.6023809523809525
PL010,37.42857132857143,58.10406214285714,89.0,60.0,0.6238095221428571
PL011,37.99999985714286,50.57722,66.0,60.0,0.633333330952381
PL012,32.571428714285716,71.18067228571428,93.0,60.0,0.5428571452380953
PL013,39.57142842857143,61.94229871428571,74.0,60.0,0.6595238071428572
PL014,37.51747157142857,21.26927028571429,26.0,60.0,0.6252911928571429
PL015,39.45028957142857,27.41602328571429,33.0,60.0,0.6575048261904761
PL016,39.932179000000005,26.64454057142857,31.0,60.0,0.6655363166666668
PL017,33.55952385714286,64.94696971428571,72.0,60.0,0.5593253976190476
PL018,33.71428557142857,43.656329428571425,70.0,60.0,0.5619047595238095
PL019,38.819181,23.51248742857143,29.0,60.0,0.64698635
PL020,32.142857142857146,36.497479,56.0,60.0,0.5357142857142858
PL021,34.87013,54.891108714285714,85.0,60.0,0.5811688333333334
PL022,35.00000014285714,46.27938842857143,54.0,60.0,0.5833333357142857
PL023,37.0,36.677593,53.0,60.0,0.6166666666666667
PL024,34.00000014285714,39.01039971428572,46.0,60.0,0.566666669047619
PL025,37.857143,50.02953985714286,65.0,60.0,0.6309523833333334
PL026,36.93524442857143,41.56253085714286,50.0,60.0,0.6155874071428572
PL027,33.25664171428571,60.713283142857144,99.0,60.0,0.5542773619047618
PL028,34.285714285714285,58.365194571428574,72.0,60.0,0.5714285714285714
PL029,38.285714142857145,36.165439428571425,43.0,60.0,0.6380952357142857
PL030,33.43675028571429,51.98745914285714,57.0,60.0,0.5572791714285715
PL031,38.00000014285714,35.624245571428574,39.0,60.0,0.6333333357142856
PL032,36.42857135714286,62.62564828571429,94.0,60.0,0.6071428559523809
PL033,28.428571428571427,58.88968542857143,97.0,60.0,0.4738095238095238
PL034,37.81765,44.82057542857143,52.0,60.0,0.6302941666666667
PL035,36.571428857142855,41.326961857142855,55.0,60.0,0.6095238142857142
PL036,36.42857142857143,52.39552614285714,64.0,60.0,0.6071428571428572
PL037,39.95037114285714,32.353896,41.0,60.0,0.6658395190476191
PL038,35.285714285714285,42.207142857142856,63.0,60.0,0.5880952380952381
PL039,38.57142842857143,72.60846557142857,83.0,60.0,0.6428571404761905
PL040,33.069213714285716,13.780730842857142,26.0,60.0,0.551153561904762
PL041,35.041598428571426,18.295019314285714,24.0,60.0,0.5840266404761905
PL042,35.57142857142857,38.16483514285714,50.0,60.0,0.5928571428571429
PL043,31.142857,44.077601571428566,51.0,60.0,0.5190476166666667
PL044,32.285714285714285,39.42966614285714,58.0,60.0,0.5380952380952381
PL045,35.525902714285714,19.351125,32.0,60.0,0.5920983785714286
PL046,33.926127,45.016838857142865,49.0,60.0,0.5654354500000001
PL047,36.285714285714285,63.02330285714286,73.0,60.0,0.6047619047619047
PL048,37.42231485714286,16.42805017142857,21.0,60.0,0.6237052476190477
PL049,45.0,45.021748571428574,47.0,60.0,0.75
PL050,35.853397428571434,17.777956142857143,22.0,60.0,0.5975566238095239
PL051,37.05459171428571,47.002551,52.0,60.0,0.6175765285714285
PL052,36.651593,17.198355485714284,28.0,60.0,0.6108598833333333
PL053,37.0,52.85275485714286,73.0,60.0,0.6166666666666667
PL054,36.968196,25.912408714285714,29.0,60.0,0.6161366
PL055,32.99999985714286,75.365801,90.0,60.0,0.5499999976190477
PL056,34.71428557142857,33.599131,44.0,60.0,0.5785714261904762
PL057,34.857142814285716,66.174714,93.0,60.0,0.5809523802380953
PL058,34.571428614285715,63.93031357142858,92.0,60.0,0.5761904769047619
PL059,39.00000014285714,32.849341714285714,38.0,60.0,0.6500000023809523
PL060,31.520822142857146,60.380074,98.0,60.0,0.5253470357142858
PL061,37.142857142857146,42.58149557142857,65.0,60.0,0.6190476190476191
PL062,38.74868585714285,15.181079828571427,22.0,60.0,0.6458114309523809
PL063,36.57142857142857,33.33163271428571,41.0,60.0,0.6095238095238095
PL064,31.7142856,59.738636285714286,80.0,60.0,0.5285714266666667
PL065,37.201503714285714,33.48270657142857,39.0,60.0,0.6200250619047619
PL066,34.57142842857143,47.709523857142855,61.0,60.0,0.5761904738095238
PL067,37.005120142857145,30.02508957142857,36.0,60.0,0.6167520023809524
PL068,33.285714285714285,49.896885,65.0,60.0,0.5547619047619048
PL069,37.0,29.276055000000003,36.0,60.0,0.6166666666666667
PL070,31.142857142857142,67.30841642857142,93.0,60.0,0.5190476190476191
PL071,33.99999985714286,39.15854971428571,56.0,60.0,0.5666666642857143
PL072,34.142857,48.38888871428571,64.0,60.0,0.5690476166666667
PL073,31.142857142857142,48.473923,69.0,60.0,0.5190476190476191
PL074,35.57142842857143,55.811594285714285,70.0,60.0,0.5928571404761905
PL075,34.59290714285714,51.502497285714284,93.0,60.0,0.5765484523809524
PL076,39.285714285714285,44.26648328571429,67.0,60.0,0.6547619047619048
PL077,36.42857157142857,42.968309999999995,53.0,60.0,0.6071428595238095
PL078,34.57142857142857,58.072717714285716,77.0,60.0,0.5761904761904761
PL079,30.428571428571427,59.304324,87.0,60.0,0.5071428571428571
PL080,30.142857142857142,56.728055,80.0,60.0,0.5023809523809524
PL081,35.857142857142854,38.121693,52.0,60.0,0.5976190476190476
PL082,37.00000014285714,32.84553257142857,38.0,60.0,0.616666669047619
PL083,37.14285712857143,62.570972285714284,89.0,60.0,0.6190476188095239
PL084,36.184264999999996,43.361801285714286,49.0,60.0,0.6030710833333333
PL085,37.43812871428572,14.519114742857143,21.0,60.0,0.6239688119047619
PL086,34.571428714285716,41.237216714285715,57.0,60.0,0.5761904785714286
PL087,37.18980285714286,22.246844857142857,28.0,60.0,0.6198300476190476
PL088,31.71428585714286,63.390216714285714,75.0,60.0,0.528571430952381
PL089,35.142857142857146,63.070707142857145,94.0,60.0,0.5857142857142857
PL090,38.71231528571428,21.65517242857143,25.0,60.0,0.6452052547619047
PL091,37.857142714285715,42.670254285714286,50.0,60.0,0.6309523785714286
PL092,30.67410742857143,48.00111614285714,88.0,60.0,0.5112351238095239
PL093,37.64461142857142,26.594486285714286,33.0,60.0,0.6274101904761904
PL094,29.28571414285714,55.178430285714285,83.0,60.0,0.4880952357142857
PL095,36.57142857142857,55.891449,66.0,60.0,0.6095238095238095
PL096,37.07403885714286,45.206455000000005,84.0,60.0,0.6179006476190476
PL097,39.0,44.99717114285714,60.0,60.0,0.65
PL098,36.857142857142854,23.262689571428574,29.0,60.0,0.6142857142857142
PL099,34.85714297142857,56.36590557142857,68.0,60.0,0.5809523828571429
PL100,33.118962857142854,58.579563,95.0,60.0,0.5519827142857142
PL101,31.228686714285715,31.920506999999997,41.0,60.0,0.5204781119047619
PL102,36.18608328571428,16.011597428571427,20.0,60.0,0.6031013880952381
PL103,39.77316614285714,19.892857142857142,23.0,60.0,0.6628861023809524
PL104,31.857142857142858,58.598513000000004,86.0,60.0,0.530952380952381
PL105,37.714285714285715,70.72118214285715,78.0,60.0,0.6285714285714286
PL106,34.857142857142854,64.60766042857144,72.0,60.0,0.5809523809523809
PL107,37.57142857142857,51.50506585714286,57.0,60.0,0.6261904761904762
PL108,32.14285712857143,48.89417985714285,78.0,60.0,0.5357142854761905
PL109,31.857143020714286,56.39389228571429,88.0,60.0,0.5309523836785714
PL110,37.14285734285714,41.77005857142857,61.0,60.0,0.6190476223809523
PL111,35.57142857142857,59.699034,81.0,60.0,0.5928571428571429
PL112,38.0,29.691308714285714,39.0,60.0,0.6333333333333333
PL113,34.71428557142857,39.71159028571429,53.0,60.0,0.5785714261904762
PL114,33.42857158571429,48.41880771428571,76.0,60.0,0.5571428597619048
PL115,33.39577571428571,32.409672,39.0,60.0,0.5565962619047619
PL116,38.0,22.514891428571428,28.0,60.0,0.6333333333333333
PL117,36.142857142857146,37.13931114285714,46.0,60.0,0.6023809523809525
PL118,33.71428557142857,46.960317714285715,65.0,60.0,0.5619047595238095
PL119,34.285714285714285,50.96031742857143,65.0,60.0,0.5714285714285714
PL120,35.08994728571428,15.122222271428571,22.0,60.0,0.5848324547619047
PL121,30.714285885714286,58.648057,82.0,60.0,0.5119047647619047
PL122,34.244739714285714,33.10908085714286,37.0,60.0,0.570745661904762
PL123,34.04724828571428,23.286825857142855,29.0,60.0,0.567454138095238
PL124,30.857142857142858,41.199648857142854,59.0,60.0,0.5142857142857143
PL125,34.99999985714286,49.78647671428571,72.0,60.0,0.583333330952381
PL126,31.42857137142857,66.13846157142858,89.0,60.0,0.5238095228571429
PL127,37.280754,39.90079385714286,48.0,60.0,0.6213459
PL128,35.857143,54.563333285714286,87.0,60.0,0.59761905
PL129,35.630469142857145,23.294675857142856,28.0,60.0,0.5938411523809524
PL130,34.57142835142857,40.255886857142855,59.0,60.0,0.5761904725238095
PL131,29.142857142857142,70.18057142857143,95.0,60.0,0.4857142857142857
PL132,33.142857285714285,72.66909085714285,93.0,60.0,0.5523809547619047
PL133,35.714285714285715,46.83170271428571,73.0,60.0,0.5952380952380952
PL134,36.57142857142857,58.87499985714286,76.0,60.0,0.6095238095238095
PL135,34.99999985714286,33.27926971428571,46.0,60.0,0.583333330952381
PL136,32.285714285714285,72.91662242857143,99.0,60.0,0.5380952380952381
PL137,36.57142857142857,42.01382485714286,47.0,60.0,0.6095238095238095
PL138,35.285714285714285,28.998376571428572,34.0,60.0,0.5880952380952381
PL139,36.00358442857143,37.25550442857143,42.0,60.0,0.6000597404761905
PL140,32.857143,62.58441557142857,80.0,60.0,0.54761905
PL141,34.57629871428571,22.155844285714288,29.0,60.0,0.5762716452380953
PL142,35.26857142857143,23.600519285714288,32.0,60.0,0.5878095238095238
PL143,32.857142857142854,55.751664142857145,81.0,60.0,0.5476190476190476
PL144,37.12893242857143,16.182568271428572,20.0,60.0,0.6188155404761905
PL145,36.27671957142857,27.127513142857143,30.0,60.0,0.6046119928571428
PL146,35.42857142857143,33.79696485714286,45.0,60.0,0.5904761904761905
PL147,31.28571414285714,57.32846714285714,93.0,60.0,0.521428569047619
PL148,33.00000014285714,64.46503485714285,98.0,60.0,0.5500000023809524
PL149,32.142857,62.905764285714284,100.0,60.0,0.5357142833333334
PL150,34.944629142857146,25.3433,27.0,60.0,0.5824104857142858
PL151,34.71428574285714,60.130993428571436,89.0,60.0,0.578571429047619
PL152,31.999999857142857,63.62637371428571,93.0,60.0,0.533333330952381
PL153,34.142857142857146,30.407782285714287,44.0,60.0,0.5690476190476191
PL154,35.142857285714285,28.926712714285713,43.0,60.0,0.5857142880952381
PL155,35.285714157142856,75.10204085714285,99.0,60.0,0.5880952359523809
PL156,37.57142857142857,26.56890457142857,35.0,60.0,0.6261904761904762
PL157,35.19534628571429,14.8841992,22.0,60.0,0.5865891047619047
PL158,33.714285714285715,58.45944528571429,75.0,60.0,0.5619047619047619
PL159,36.71584428571429,36.744415571428576,40.0,60.0,0.6119307380952381
PL160,32.99999985714286,57.37499985714286,86.0,60.0,0.5499999976190477
PL161,38.142857,23.043609,29.0,60.0,0.6357142833333334
PL162,36.346031857142854,23.18359785714286,26.0,60.0,0.6057671976190476
PL163,36.451710285714285,30.14436614285714,38.0,60.0,0.6075285047619048
PL164,35.714285714285715,30.61006585714286,48.0,60.0,0.5952380952380952
PL165,35.96896542857143,47.472413857142854,64.0,60.0,0.5994827571428571
PL166,33.88149342857143,48.71807342857143,61.0,60.0,0.5646915571428572
PL167,37.857143,52.861056857142856,65.0,60.0,0.6309523833333334
PL168,37.12330814285714,35.261654,43.0,60.0,0.6187218023809523
PL169,35.285714285714285,39.35376614285714,49.0,60.0,0.5880952380952381
PL170,38.285714285714285,45.505494428571424,64.0,60.0,0.638095238095238
PL171,35.142857142857146,51.75577728571428,61.0,60.0,0.5857142857142857
PL172,33.285714285714285,42.238274999999994,58.0,60.0,0.5547619047619048
PL173,34.57142857142857,46.84115885714285,71.0,60.0,0.5761904761904761
PL174,32.142857057142855,53.15963185714286,72.0,60.0,0.5357142842857142
PL175,37.285714142857145,37.543919,62.0,60.0,0.6214285690476191
