day,locker_id,cleared_actual,overflow,S_end,capacity,clear_capacity
1,PL001,33.101045,1.8989547,30.0,30.0,60.0
2,PL001,45.505226,0.0,19.494774,30.0,60.0
3,PL001,44.264808,0.0,24.229965,30.0,60.0
4,PL001,40.672474,0.0,20.557491,30.0,60.0
5,PL001,42.254355,0.0,19.303136,30.0,60.0
6,PL001,39.348432,0.0,19.954704,30.0,60.0
7,PL001,24.954704,0.0,30.0,30.0,60.0
1,PL002,28.615108,0.0,30.384892,38.0,60.0
2,PL002,41.733813,0.0,27.651079,38.0,60.0
3,PL002,39.388489,0.0,24.26259,38.0,60.0
4,PL002,38.586331,0.0,26.676259,38.0,60.0
5,PL002,41.226619,0.0,32.44964,38.0,60.0
6,PL002,34.44964,0.0,38.0,38.0,60.0
7,PL002,32.0,0.0,38.0,38.0,60.0
1,PL003,26.710098,0.0,43.289902,55.0,60.0
2,PL003,40.508143,0.0,44.781759,55.0,60.0
3,PL003,43.889251,0.0,50.892508,55.0,60.0
4,PL003,46.697068,0.0,52.19544,55.0,60.0
5,PL003,49.915309,0.0,54.28013,55.0,60.0
6,PL003,35.28013,0.0,55.0,55.0,60.0
7,PL003,39.0,0.0,55.0,55.0,60.0
1,PL004,23.149254,0.0,45.850746,61.0,60.0
2,PL004,34.679104,0.0,49.171642,61.0,60.0
3,PL004,35.835821,0.0,49.335821,61.0,60.0
4,PL004,36.261194,0.0,48.074627,61.0,60.0
5,PL004,35.634328,0.0,48.440299,61.0,60.0
6,PL004,38.38806,0.0,54.052239,61.0,60.0
7,PL004,39.052239,0.0,61.0,61.0,60.0
1,PL005,27.972509,0.0,55.027491,73.0,60.0
2,PL005,39.958763,0.0,47.068729,73.0,60.0
3,PL005,40.749141,0.0,51.319588,73.0,60.0
4,PL005,37.570447,0.0,50.749141,73.0,60.0
5,PL005,42.271478,0.0,52.477663,73.0,60.0
6,PL005,42.123711,0.0,56.353952,73.0,60.0
7,PL005,26.353952,0.0,73.0,73.0,60.0
1,PL006,25.886926,0.0,47.113074,78.0,60.0
2,PL006,41.537102,0.0,54.575972,78.0,60.0
3,PL006,43.883392,0.0,55.69258,78.0,60.0
4,PL006,42.798587,0.0,48.893993,78.0,60.0
5,PL006,42.106007,0.0,51.787986,78.0,60.0
6,PL006,40.40636,0.0,51.381625,78.0,60.0
7,PL006,4.3816254,0.0,78.0,78.0,60.0
1,PL007,18.0,3.72,38.28,49.0,60.0
2,PL007,30.96,0.0,41.32,49.0,60.0
3,PL007,34.32,0.0,49.0,49.0,60.0
4,PL007,37.36,0.0,47.64,49.0,60.0
5,PL007,39.587368,0.0,49.0,49.0,60.0
6,PL007,36.581053,0.0,43.418947,49.0,60.0
7,PL007,26.418947,0.0,49.0,49.0,60.0
1,PL008,21.501976,0.0,51.498024,78.0,60.0
2,PL008,36.019763,0.0,56.478261,78.0,60.0
3,PL008,36.118577,0.0,53.359684,78.0,60.0
4,PL008,35.940711,0.0,50.418972,78.0,60.0
5,PL008,34.731225,0.0,54.687747,78.0,60.0
6,PL008,37.948617,0.0,59.73913,78.0,60.0
7,PL008,11.73913,0.0,78.0,78.0,60.0
1,PL009,25.658182,0.0,28.341818,40.0,60.0
2,PL009,34.690909,0.0,25.650909,40.0,60.0
3,PL009,35.767273,0.0,29.883636,40.0,60.0
4,PL009,40.974545,0.0,38.909091,40.0,60.0
5,PL009,44.509091,0.0,36.4,40.0,60.0
6,PL009,43.316364,0.0,32.083636,40.0,60.0
7,PL009,28.083636,0.0,40.0,40.0,60.0
1,PL010,38.357827,0.0,57.642173,89.0,60.0
2,PL010,53.399361,0.0,46.242812,89.0,60.0
3,PL010,48.28115,0.0,42.961661,89.0,60.0
4,PL010,44.271565,0.0,44.690096,89.0,60.0
5,PL010,42.498403,0.0,37.191693,89.0,60.0
6,PL010,1.1916933,0.0,89.0,89.0,60.0
7,PL010,34.0,0.0,89.0,89.0,60.0
1,PL011,32.432432,0.0,51.567568,66.0,60.0
2,PL011,46.905405,0.0,49.662162,66.0,60.0
3,PL011,43.054054,0.0,43.608108,66.0,60.0
4,PL011,44.337838,0.0,49.27027,66.0,60.0
5,PL011,44.689189,0.0,51.581081,66.0,60.0
6,PL011,43.22973,0.0,42.351351,66.0,60.0
7,PL011,11.351351,0.0,66.0,66.0,60.0
1,PL012,20.970588,0.0,59.029412,93.0,60.0
2,PL012,35.529412,0.0,68.5,93.0,60.0
3,PL012,39.176471,0.0,70.323529,93.0,60.0
4,PL012,41.970588,0.0,68.352941,93.0,60.0
5,PL012,41.294118,0.0,70.058824,93.0,60.0
6,PL012,41.058824,0.0,69.0,93.0,60.0
7,PL012,8.0,0.0,93.0,93.0,60.0
1,PL013,28.592834,0.0,57.407166,74.0,60.0
2,PL013,39.420195,0.0,51.986971,74.0,60.0
3,PL013,41.068404,0.0,58.918567,74.0,60.0
4,PL013,45.143322,0.0,66.775244,74.0,60.0
5,PL013,52.04886,0.0,69.726384,74.0,60.0
6,PL013,46.944625,0.0,54.781759,74.0,60.0
7,PL013,23.781759,0.0,74.0,74.0,60.0
1,PL014,29.622302,3.3776978,26.0,26.0,60.0
2,PL014,41.827338,0.0,20.172662,26.0,60.0
3,PL014,40.748201,0.0,20.42446,26.0,60.0
4,PL014,39.658273,0.0,22.766187,26.0,60.0
5,PL014,38.294964,0.0,16.471223,26.0,60.0
6,PL014,37.420863,0.0,17.05036,26.0,60.0
7,PL014,35.05036,0.0,26.0,26.0,60.0
1,PL015,29.037162,0.0,29.962838,33.0,60.0
2,PL015,44.118243,0.84797297,26.996622,33.0,60.0
3,PL015,41.006757,0.0,20.989865,33.0,60.0
4,PL015,38.364865,0.0,20.625,33.0,60.0
5,PL015,39.287162,0.0,27.337838,33.0,60.0
6,PL015,44.337838,0.0,33.0,33.0,60.0
7,PL015,40.0,0.0,33.0,33.0,60.0
1,PL016,30.454545,1.5454545,31.0,31.0,60.0
2,PL016,44.703704,0.0,30.296296,31.0,60.0
3,PL016,40.767677,2.9292929,18.599327,31.0,60.0
4,PL016,38.545455,0.0,21.053872,31.0,60.0
5,PL016,41.053872,0.0,31.0,31.0,60.0
6,PL016,44.508418,0.0,26.491582,31.0,60.0
7,PL016,39.491582,0.0,31.0,31.0,60.0
1,PL017,16.193182,3.0833333,51.723485,72.0,60.0
2,PL017,32.268939,0.0,63.454545,72.0,60.0
3,PL017,38.454545,0.0,72.0,72.0,60.0
4,PL017,40.587121,0.0,64.412879,72.0,60.0
5,PL017,43.670455,0.0,68.742424,72.0,60.0
6,PL017,35.44697,0.0,62.295455,72.0,60.0
