day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
1,PL001,0.0,0.0,50.0,60.0,60.0
2,PL001,35.0,0.0,0.0,60.0,60.0
3,PL001,24.0,0.0,60.0,60.0,60.0
4,PL001,1.0,0.0,60.0,60.0,60.0
5,PL001,0.0,0.0,42.0,60.0,60.0
6,PL001,40.0,0.0,0.0,60.0,60.0
7,PL001,60.0,0.0,15.0,60.0,60.0
1,PL002,0.0,0.0,43.0,60.0,60.0
2,PL002,0.0,0.0,39.0,60.0,60.0
3,PL002,0.0,0.0,36.0,60.0,60.0
4,PL002,0.0,0.0,41.0,60.0,60.0
5,PL002,0.0,0.0,47.0,60.0,60.0
6,PL002,28.0,0.0,12.0,60.0,60.0
7,PL002,60.0,0.0,0.0,60.0,60.0
1,PL003,0.0,0.0,40.0,60.0,60.0
2,PL003,0.0,0.0,42.0,60.0,60.0
3,PL003,12.0,0.0,38.0,60.0,60.0
4,PL003,0.0,0.0,60.0,60.0,60.0
5,PL003,45.0,0.0,7.0,60.0,60.0
6,PL003,21.0,0.0,60.0,60.0,60.0
7,PL003,60.0,0.0,0.0,60.0,60.0
1,PL004,0.0,0.0,33.0,60.0,60.0
2,PL004,38.0,0.0,0.0,60.0,60.0
3,PL004,14.0,0.0,60.0,60.0,60.0
4,PL004,0.0,0.0,49.0,60.0,60.0
5,PL004,0.0,0.0,36.0,60.0,60.0
6,PL004,14.0,0.0,30.0,60.0,60.0
7,PL004,60.0,0.0,0.0,60.0,60.0
1,PL005,0.0,0.0,44.0,60.0,60.0
2,PL005,0.0,0.0,32.0,60.0,60.0
3,PL005,23.0,0.0,22.0,60.0,60.0
4,PL005,0.0,0.0,60.0,60.0,60.0
5,PL005,44.0,0.0,0.0,60.0,60.0
6,PL005,30.0,0.0,60.0,60.0,60.0
7,PL005,60.0,0.0,13.0,60.0,60.0
1,PL006,11.0,0.0,26.0,60.0,60.0
2,PL006,0.0,0.0,60.0,60.0,60.0
3,PL006,0.0,0.0,45.0,60.0,60.0
4,PL006,15.0,0.0,21.0,60.0,60.0
5,PL006,0.0,0.0,60.0,60.0,60.0
6,PL006,40.0,0.0,0.0,60.0,60.0
7,PL006,60.0,0.0,11.0,60.0,60.0
1,PL007,0.0,0.0,30.0,60.0,60.0
2,PL007,0.0,0.0,34.0,60.0,60.0
3,PL007,42.0,0.0,0.0,60.0,60.0
4,PL007,18.0,0.0,60.0,60.0,60.0
5,PL007,3.0,0.0,60.0,60.0,60.0
6,PL007,0.0,0.0,34.0,60.0,60.0
7,PL007,32.0,0.0,0.0,60.0,60.0
1,PL008,0.0,0.0,34.0,60.0,60.0
2,PL008,0.0,0.0,41.0,60.0,60.0
3,PL008,0.0,0.0,33.0,60.0,60.0
4,PL008,21.0,0.0,12.0,60.0,60.0
5,PL008,0.0,0.0,60.0,60.0,60.0
6,PL008,43.0,0.0,0.0,60.0,60.0
7,PL008,60.0,0.0,13.0,60.0,60.0
1,PL009,36.0,0.0,0.0,60.0,60.0
2,PL009,8.0,0.0,60.0,60.0,60.0
3,PL009,0.0,0.0,48.0,60.0,60.0
4,PL009,50.0,0.0,0.0,60.0,60.0
5,PL009,32.0,0.0,60.0,60.0,60.0
6,PL009,24.0,0.0,47.0,60.0,60.0
7,PL009,60.0,0.0,0.0,60.0,60.0
1,PL010,0.0,0.0,58.0,60.0,60.0
2,PL010,15.0,0.0,27.0,60.0,60.0
3,PL010,0.0,0.0,60.0,60.0,60.0
4,PL010,46.0,0.0,0.0,60.0,60.0
5,PL010,21.0,0.0,60.0,60.0,60.0
6,PL010,14.0,0.0,60.0,60.0,60.0
7,PL010,48.0,0.0,0.0,60.0,60.0
1,PL011,0.0,0.0,48.0,60.0,60.0
2,PL011,0.0,0.0,45.0,60.0,60.0
3,PL011,0.0,0.0,37.0,60.0,60.0
4,PL011,13.0,0.0,37.0,60.0,60.0
5,PL011,0.0,0.0,60.0,60.0,60.0
6,PL011,25.0,0.0,9.0,60.0,60.0
7,PL011,60.0,0.0,0.0,60.0,60.0
1,PL012,0.0,0.0,31.0,60.0,60.0
2,PL012,0.0,0.0,45.0,60.0,60.0
3,PL012,0.0,0.0,41.0,60.0,60.0
4,PL012,0.0,0.0,40.0,60.0,60.0
5,PL012,0.0,0.0,43.0,60.0,60.0
6,PL012,40.0,0.0,0.0,60.0,60.0
7,PL012,60.0,0.0,12.0,60.0,60.0
1,PL013,0.0,0.0,42.0,60.0,60.0
2,PL013,0.0,0.0,34.0,60.0,60.0
3,PL013,40.0,0.0,8.0,60.0,60.0
4,PL013,33.0,0.0,60.0,60.0,60.0
5,PL013,28.0,0.0,60.0,60.0,60.0
6,PL013,0.0,0.0,60.0,60.0,60.0
7,PL013,43.0,0.0,0.0,60.0,60.0
1,PL014,0.0,0.0,45.0,60.0,60.0
2,PL014,0.0,0.0,36.0,60.0,60.0
3,PL014,0.0,0.0,41.0,60.0,60.0
4,PL014,0.0,0.0,42.0,60.0,60.0
5,PL014,32.0,0.0,0.0,60.0,60.0
6,PL014,16.0,0.0,54.0,60.0,60.0
7,PL014,60.0,0.0,0.0,60.0,60.0
1,PL015,0.0,0.0,45.0,60.0,60.0
2,PL015,0.0,0.0,42.0,60.0,60.0
3,PL015,0.0,0.0,35.0,60.0,60.0
4,PL015,0.0,0.0,38.0,60.0,60.0
5,PL015,0.0,0.0,46.0,60.0,60.0
6,PL015,20.0,0.0,30.0,60.0,60.0
7,PL015,60.0,0.0,0.0,60.0,60.0
1,PL016,0.0,0.0,45.0,60.0,60.0
2,PL016,44.0,0.0,0.0,60.0,60.0
