day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
1,PL001,0.0,50.0,0.0,6000000.0,60000000.0
2,PL001,0.0,35.0,0.0,6000000.0,60000000.0
3,PL001,0.0,49.0,0.0,6000000.0,60000000.0
4,PL001,0.0,37.0,0.0,6000000.0,60000000.0
5,PL001,0.0,41.0,0.0,6000000.0,60000000.0
6,PL001,0.0,40.0,0.0,6000000.0,60000000.0
7,PL001,0.0,35.0,0.0,6000000.0,60000000.0
1,PL002,0.0,43.0,0.0,6000000.0,60000000.0
2,PL002,0.0,39.0,0.0,6000000.0,60000000.0
3,PL002,0.0,36.0,0.0,6000000.0,60000000.0
4,PL002,0.0,41.0,0.0,6000000.0,60000000.0
5,PL002,0.0,47.0,0.0,6000000.0,60000000.0
6,PL002,0.0,40.0,0.0,6000000.0,60000000.0
7,PL002,0.0,32.0,0.0,6000000.0,60000000.0
1,PL003,0.0,40.0,0.0,6000000.0,60000000.0
2,PL003,0.0,42.0,0.0,6000000.0,60000000.0
3,PL003,0.0,50.0,0.0,6000000.0,60000000.0
4,PL003,0.0,48.0,0.0,6000000.0,60000000.0
5,PL003,0.0,52.0,0.0,6000000.0,60000000.0
6,PL003,0.0,36.0,0.0,6000000.0,60000000.0
7,PL003,0.0,39.0,0.0,6000000.0,60000000.0
1,PL004,0.0,33.0,0.0,6000000.0,60000000.0
2,PL004,0.0,38.0,0.0,6000000.0,60000000.0
3,PL004,0.0,36.0,0.0,6000000.0,60000000.0
4,PL004,0.0,35.0,0.0,6000000.0,60000000.0
5,PL004,0.0,36.0,0.0,6000000.0,60000000.0
6,PL004,0.0,44.0,0.0,6000000.0,60000000.0
7,PL004,46.0,0.0,0.0,6000000.0,60000000.0
1,PL005,0.0,44.0,0.0,6000000.0,60000000.0
2,PL005,0.0,32.0,0.0,6000000.0,60000000.0
3,PL005,0.0,45.0,0.0,6000000.0,60000000.0
4,PL005,0.0,37.0,0.0,6000000.0,60000000.0
5,PL005,0.0,44.0,0.0,6000000.0,60000000.0
6,PL005,0.0,46.0,0.0,6000000.0,60000000.0
7,PL005,43.0,0.0,0.0,6000000.0,60000000.0
1,PL006,0.0,37.0,0.0,6000000.0,60000000.0
2,PL006,0.0,49.0,0.0,6000000.0,60000000.0
3,PL006,0.0,45.0,0.0,6000000.0,60000000.0
4,PL006,0.0,36.0,0.0,6000000.0,60000000.0
5,PL006,0.0,45.0,0.0,6000000.0,60000000.0
6,PL006,0.0,40.0,0.0,6000000.0,60000000.0
7,PL006,0.0,31.0,0.0,6000000.0,60000000.0
1,PL007,0.0,30.0,0.0,6000000.0,60000000.0
2,PL007,0.0,34.0,0.0,6000000.0,60000000.0
3,PL007,0.0,42.0,0.0,6000000.0,60000000.0
4,PL007,0.0,36.0,0.0,6000000.0,60000000.0
5,PL007,0.0,45.0,0.0,6000000.0,60000000.0
6,PL007,0.0,31.0,0.0,6000000.0,60000000.0
7,PL007,0.0,32.0,0.0,6000000.0,60000000.0
1,PL008,0.0,34.0,0.0,6000000.0,60000000.0
2,PL008,0.0,41.0,0.0,6000000.0,60000000.0
3,PL008,0.0,33.0,0.0,6000000.0,60000000.0
4,PL008,0.0,33.0,0.0,6000000.0,60000000.0
5,PL008,0.0,39.0,0.0,6000000.0,60000000.0
6,PL008,0.0,43.0,0.0,6000000.0,60000000.0
7,PL008,30.0,0.0,0.0,6000000.0,60000000.0
1,PL009,0.0,36.0,0.0,6000000.0,60000000.0
2,PL009,0.0,32.0,0.0,6000000.0,60000000.0
3,PL009,0.0,40.0,0.0,6000000.0,60000000.0
4,PL009,0.0,50.0,0.0,6000000.0,60000000.0
5,PL009,0.0,42.0,0.0,6000000.0,60000000.0
6,PL009,0.0,39.0,0.0,6000000.0,60000000.0
7,PL009,0.0,36.0,0.0,6000000.0,60000000.0
1,PL010,0.0,58.0,0.0,6000000.0,60000000.0
2,PL010,0.0,42.0,0.0,6000000.0,60000000.0
3,PL010,0.0,45.0,0.0,6000000.0,60000000.0
4,PL010,0.0,46.0,0.0,6000000.0,60000000.0
5,PL010,0.0,35.0,0.0,6000000.0,60000000.0
6,PL010,0.0,53.0,0.0,6000000.0,60000000.0
7,PL010,0.0,34.0,0.0,6000000.0,60000000.0
1,PL011,0.0,48.0,0.0,6000000.0,60000000.0
2,PL011,0.0,45.0,0.0,6000000.0,60000000.0
3,PL011,0.0,37.0,0.0,6000000.0,60000000.0
4,PL011,0.0,50.0,0.0,6000000.0,60000000.0
5,PL011,0.0,47.0,0.0,6000000.0,60000000.0
6,PL011,0.0,34.0,0.0,6000000.0,60000000.0
7,PL011,35.0,0.0,0.0,6000000.0,60000000.0
1,PL012,0.0,31.0,0.0,6000000.0,60000000.0
2,PL012,0.0,45.0,0.0,6000000.0,60000000.0
3,PL012,0.0,41.0,0.0,6000000.0,60000000.0
4,PL012,0.0,40.0,0.0,6000000.0,60000000.0
5,PL012,0.0,43.0,0.0,6000000.0,60000000.0
6,PL012,0.0,40.0,0.0,6000000.0,60000000.0
7,PL012,32.0,0.0,0.0,6000000.0,60000000.0
1,PL013,0.0,42.0,0.0,6000000.0,60000000.0
2,PL013,0.0,34.0,0.0,6000000.0,60000000.0
3,PL013,0.0,48.0,0.0,6000000.0,60000000.0
4,PL013,0.0,53.0,0.0,6000000.0,60000000.0
5,PL013,0.0,55.0,0.0,6000000.0,60000000.0
6,PL013,0.0,32.0,0.0,6000000.0,60000000.0
7,PL013,0.0,43.0,0.0,6000000.0,60000000.0
1,PL014,0.0,45.0,0.0,6000000.0,60000000.0
2,PL014,0.0,36.0,0.0,6000000.0,60000000.0
3,PL014,0.0,41.0,0.0,6000000.0,60000000.0
4,PL014,0.0,42.0,0.0,6000000.0,60000000.0
5,PL014,0.0,32.0,0.0,6000000.0,60000000.0
6,PL014,0.0,38.0,0.0,6000000.0,60000000.0
7,PL014,0.0,44.0,0.0,6000000.0,60000000.0
1,PL015,0.0,45.0,0.0,6000000.0,60000000.0
2,PL015,0.0,42.0,0.0,6000000.0,60000000.0
3,PL015,0.0,35.0,0.0,6000000.0,60000000.0
4,PL015,0.0,38.0,0.0,6000000.0,60000000.0
5,PL015,0.0,46.0,0.0,6000000.0,60000000.0
6,PL015,0.0,50.0,0.0,6000000.0,60000000.0
7,PL015,0.0,40.0,0.0,6000000.0,60000000.0
