locker_id,assigned_warehouse_id,assigned_warehouse_name,demand,served,unserved,km_to_assigned,assigned_p_late,expected_late_orders,expected_late_cost
PL001,EW_1,Stockholm Hub,287.0,287.0,0.0,25.024250936278516,0.03799999999999992,10.905999999999977,2181.1999999999953
PL002,EW_1,Stockholm Hub,278.0,278.0,0.0,25.098236285789916,0.03799999999999992,10.563999999999979,2112.7999999999956
PL003,NW_2,Tumba Depot,307.0,307.0,0.0,19.159052260304993,0.05700000000000005,17.499000000000017,3499.8000000000034
PL004,EW_1,Stockholm Hub,268.0,268.0,0.0,25.778563559527825,0.03799999999999992,10.18399999999998,2036.7999999999959
PL005,EW_1,Stockholm Hub,291.0,291.0,0.0,26.537502002315662,0.03799999999999992,11.057999999999977,2211.5999999999954
PL006,NW_1,Barkarby Hub,283.0,283.0,0.0,14.874318109117267,0.04200000000000004,11.88600000000001,2377.200000000002
PL007,EW_1,Stockholm Hub,250.0,250.0,0.0,26.795049848181296,0.03799999999999992,9.49999999999998,1899.9999999999961
PL008,NW_2,Tumba Depot,253.0,253.0,0.0,19.710434053736588,0.05700000000000005,14.421000000000014,2884.2000000000025
PL009,NW_1,Barkarby Hub,275.0,275.0,0.0,14.157891466878551,0.04200000000000004,11.55000000000001,2310.000000000002
PL010,EW_1,Stockholm Hub,313.0,313.0,0.0,26.39844490637438,0.03799999999999992,11.893999999999975,2378.799999999995
PL011,EW_1,Stockholm Hub,296.0,296.0,0.0,27.414022318060688,0.03799999999999992,11.247999999999976,2249.5999999999954
PL012,EW_1,Stockholm Hub,272.0,272.0,0.0,26.076840035814516,0.03799999999999992,10.335999999999979,2067.1999999999957
PL013,EW_1,Stockholm Hub,307.0,307.0,0.0,25.633409942163606,0.03799999999999992,11.665999999999976,2333.1999999999953
PL014,NW_2,Tumba Depot,278.0,278.0,0.0,19.933492326740424,0.05700000000000005,15.846000000000014,3169.200000000003
PL015,EW_1,Stockholm Hub,296.0,296.0,0.0,27.27693447546183,0.03799999999999992,11.247999999999976,2249.5999999999954
PL016,EW_1,Stockholm Hub,297.0,297.0,0.0,25.495958277250963,0.03799999999999992,11.285999999999976,2257.1999999999953
PL017,EW_1,Stockholm Hub,264.0,264.0,0.0,25.99720399184341,0.03799999999999992,10.031999999999979,2006.3999999999958
PL018,NW_2,Tumba Depot,281.0,281.0,0.0,17.71409918493476,0.05700000000000005,16.017000000000014,3203.400000000003
PL019,NW_1,Barkarby Hub,286.0,286.0,0.0,15.955894454524909,0.04200000000000004,12.012000000000011,2402.4000000000024
PL020,NW_1,Barkarby Hub,255.0,255.0,0.0,15.401595820584413,0.04200000000000004,10.71000000000001,2142.000000000002
PL021,NW_1,Barkarby Hub,286.0,286.0,0.0,13.420709635178701,0.04200000000000004,12.012000000000011,2402.4000000000024
PL022,NW_2,Tumba Depot,271.0,271.0,0.0,17.697391460516346,0.05700000000000005,15.447000000000013,3089.400000000003
PL023,EW_1,Stockholm Hub,292.0,292.0,0.0,25.102356403335108,0.03799999999999992,11.095999999999977,2219.1999999999953
PL024,EW_1,Stockholm Hub,261.0,261.0,0.0,25.966184768621442,0.03799999999999992,9.91799999999998,1983.599999999996
PL025,NW_2,Tumba Depot,295.0,295.0,0.0,19.03546126922041,0.05700000000000005,16.815000000000015,3363.000000000003
PL026,EW_1,Stockholm Hub,289.0,289.0,0.0,27.073867762438883,0.03799999999999992,10.981999999999978,2196.3999999999955
PL027,NW_1,Barkarby Hub,285.0,285.0,0.0,14.576383370342691,0.04200000000000004,11.970000000000011,2394.0000000000023
PL028,EW_1,Stockholm Hub,275.0,275.0,0.0,26.468371637307598,0.03799999999999992,10.449999999999978,2089.9999999999955
PL029,NW_1,Barkarby Hub,291.0,291.0,0.0,14.764815405957872,0.04200000000000004,12.22200000000001,2444.400000000002
PL030,NW_1,Barkarby Hub,262.0,262.0,0.0,13.560871914268494,0.04200000000000004,11.00400000000001,2200.800000000002
PL031,EW_1,Stockholm Hub,284.0,284.0,0.0,26.30913034712798,0.03799999999999992,10.791999999999978,2158.3999999999955
PL032,NW_1,Barkarby Hub,303.0,303.0,0.0,14.084526762657323,0.04200000000000004,12.726000000000012,2545.200000000002
PL033,NW_1,Barkarby Hub,259.0,259.0,0.0,16.169743774201283,0.04200000000000004,10.878000000000009,2175.6000000000017
PL034,NW_1,Barkarby Hub,293.0,293.0,0.0,14.528912401959655,0.04200000000000004,12.306000000000012,2461.2000000000025
