day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
1,PL001,30.0,1.8989547,33.101045,60.0,30.0
2,PL001,19.494774,0.0,45.505226,60.0,30.0
3,PL001,24.229965,0.0,44.264808,60.0,30.0
4,PL001,20.557491,0.0,40.672474,60.0,30.0
5,PL001,19.303136,0.0,42.254355,60.0,30.0
6,PL001,19.954704,0.0,39.348432,60.0,30.0
7,PL001,30.0,0.0,24.954704,60.0,30.0
1,PL002,30.384892,0.0,28.615108,60.0,38.0
2,PL002,27.651079,0.0,41.733813,60.0,38.0
3,PL002,24.26259,0.0,39.388489,60.0,38.0
4,PL002,26.676259,0.0,38.586331,60.0,38.0
5,PL002,32.44964,0.0,41.226619,60.0,38.0
6,PL002,29.672662,0.0,42.776978,60.0,38.0
7,PL002,38.0,0.0,23.672662,60.0,38.0
1,PL003,43.289902,0.0,26.710098,60.0,55.0
2,PL003,44.781759,0.0,40.508143,60.0,55.0
3,PL003,50.892508,0.0,43.889251,60.0,55.0
4,PL003,52.19544,0.0,46.697068,60.0,55.0
5,PL003,54.28013,0.0,49.915309,60.0,55.0
6,PL003,44.710098,0.0,45.570033,60.0,55.0
7,PL003,55.0,0.0,28.710098,60.0,55.0
1,PL004,45.850746,0.0,23.149254,60.0,61.0
2,PL004,49.171642,0.0,34.679104,60.0,61.0
3,PL004,49.335821,0.0,35.835821,60.0,61.0
4,PL004,48.074627,0.0,36.261194,60.0,61.0
5,PL004,48.440299,0.0,35.634328,60.0,61.0
6,PL004,54.052239,0.0,38.38806,60.0,61.0
7,PL004,61.0,0.0,39.052239,60.0,61.0
1,PL005,55.027491,0.0,27.972509,60.0,73.0
2,PL005,47.068729,0.0,39.958763,60.0,73.0
3,PL005,51.319588,0.0,40.749141,60.0,73.0
4,PL005,50.749141,0.0,37.570447,60.0,73.0
5,PL005,52.477663,0.0,42.271478,60.0,73.0
6,PL005,56.353952,0.0,42.123711,60.0,73.0
7,PL005,73.0,0.0,26.353952,60.0,73.0
1,PL006,47.113074,0.0,25.886926,60.0,78.0
2,PL006,54.575972,0.0,41.537102,60.0,78.0
3,PL006,55.69258,0.0,43.883392,60.0,78.0
4,PL006,48.893993,0.0,42.798587,60.0,78.0
5,PL006,51.787986,0.0,42.106007,60.0,78.0
6,PL006,51.381625,0.0,40.40636,60.0,78.0
7,PL006,78.0,0.0,4.3816254,60.0,78.0
1,PL007,35.2,6.8,18.0,60.0,49.0
2,PL007,38.24,0.0,30.96,60.0,49.0
3,PL007,45.92,0.0,34.32,60.0,49.0
4,PL007,44.56,0.0,37.36,60.0,49.0
5,PL007,49.0,0.0,40.56,60.0,49.0
6,PL007,41.96,0.0,38.04,60.0,49.0
7,PL007,49.0,0.0,24.96,60.0,49.0
1,PL008,51.498024,0.0,21.501976,60.0,78.0
2,PL008,56.478261,0.0,36.019763,60.0,78.0
3,PL008,53.359684,0.0,36.118577,60.0,78.0
4,PL008,50.418972,0.0,35.940711,60.0,78.0
5,PL008,54.687747,0.0,34.731225,60.0,78.0
6,PL008,59.73913,0.0,37.948617,60.0,78.0
7,PL008,78.0,0.0,11.73913,60.0,78.0
1,PL009,28.341818,0.0,25.658182,60.0,40.0
2,PL009,25.650909,0.0,34.690909,60.0,40.0
3,PL009,29.883636,0.0,35.767273,60.0,40.0
4,PL009,38.909091,0.0,40.974545,60.0,40.0
5,PL009,36.4,0.0,44.509091,60.0,40.0
6,PL009,32.083636,0.0,43.316364,60.0,40.0
7,PL009,40.0,0.0,28.083636,60.0,40.0
1,PL010,57.642173,0.0,38.357827,60.0,89.0
2,PL010,54.952077,0.0,44.690096,60.0,89.0
3,PL010,51.670927,0.0,48.28115,60.0,89.0
4,PL010,53.399361,0.0,44.271565,60.0,89.0
5,PL010,45.900958,0.0,42.498403,60.0,89.0
6,PL010,55.0,0.0,43.900958,60.0,89.0
7,PL010,89.0,0.0,0.0,60.0,89.0
1,PL011,51.567568,0.0,32.432432,60.0,66.0
2,PL011,49.662162,0.0,46.905405,60.0,66.0
3,PL011,43.608108,0.0,43.054054,60.0,66.0
4,PL011,49.27027,0.0,44.337838,60.0,66.0
5,PL011,51.581081,0.0,44.689189,60.0,66.0
6,PL011,42.351351,0.0,43.22973,60.0,66.0
7,PL011,66.0,0.0,11.351351,60.0,66.0
1,PL012,59.029412,0.0,20.970588,60.0,93.0
2,PL012,68.5,0.0,35.529412,60.0,93.0
3,PL012,70.323529,0.0,39.176471,60.0,93.0
4,PL012,68.352941,0.0,41.970588,60.0,93.0
5,PL012,70.058824,0.0,41.294118,60.0,93.0
