day,locker_id,warehouse_id,flow,km,p_late_effective,hours_per_order,expected_late,expected_late_cost,vehicle_hours_used
1,PL001,EW_1,50.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.8999999999999961,379.9999999999992,0.6256062734069628
2,PL001,EW_1,35.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.3299999999999974,265.9999999999995,0.437924391384874
3,PL001,EW_1,49.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.861999999999996,372.39999999999924,0.6130941479388236
4,PL001,EW_1,37.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.405999999999997,281.1999999999994,0.4629486423211525
5,PL001,EW_1,41.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.5579999999999967,311.59999999999934,0.5129971441937096
6,PL001,EW_1,40.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.519999999999997,303.9999999999994,0.5004850187255703
7,PL001,EW_1,35.0,25.024250936278516,0.03799999999999992,0.012512125468139257,1.3299999999999974,265.9999999999995,0.437924391384874
1,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
2,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
3,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
4,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
5,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
6,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
7,PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03818560180410164,0.0,0.0,0.0
1,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
2,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
3,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
4,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
5,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
6,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
7,PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.006985254167479257,0.0,0.0,0.0
1,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
2,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
3,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
4,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
5,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
6,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
7,PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.010161840571848485,0.0,0.0,0.0
1,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
2,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
3,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
4,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
5,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
6,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
7,PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.007810246277645778,0.0,0.0,0.0
1,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
2,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
3,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
4,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
5,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
6,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
7,PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.010181693171806793,0.0,0.0,0.0
1,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
2,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
3,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
4,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
5,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
6,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
7,PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.01028792042795513,0.0,0.0,0.0
1,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
2,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
3,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
4,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
5,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
6,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
7,PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.008022008403031484,0.0,0.0,0.0
1,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
2,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
3,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
4,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
5,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
6,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
7,PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.010208132165141446,0.0,0.0,0.0
1,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
2,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
3,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
4,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
5,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
6,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
7,PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.02446019605462378,0.0,0.0,0.0
1,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
2,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
3,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
4,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
5,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
6,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
7,PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.008402948191975462,0.0,0.0,0.0
1,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
2,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
3,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
4,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
5,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
6,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
7,PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.010213294005409048,0.0,0.0,0.0
1,PL002,EW_1,43.0,25.098236285789916,0.03799999999999992,0.01254911814289496,1.6339999999999968,326.7999999999994,0.5396120801444833
2,PL002,EW_1,39.0,25.098236285789916,0.03799999999999992,0.01254911814289496,1.481999999999997,296.3999999999994,0.4894156075729034
