warehouse_id,name,processing_rate_per_hour,capacity_horizon,cap_day
EW_1,Stockholm Hub,96.2,80808.00000000001,11544.0
EW_2,Eskilstuna FC,91.5,76860.0,10980.0
NW_1,Barkarby Hub,95.8,80471.99999999999,11496.0
NW_2,Tumba Depot,94.3,79211.99999999999,11316.0
NW_3,Sollentuna FC,96.5,81060.0,11580.0
NW_4,Haninge Hub,92.1,77363.99999999999,11051.999999999998
NW_5,Upplands Väsby,95.0,79800.0,11400.0
NW_6,Tyresö Depot,91.2,76608.00000000001,10944.0
NW_7,Vallentuna FC,96.0,80640.0,11520.0
NW_8,Nynäshamn Hub,90.5,76020.0,10860.0
NW_9,Ekerö Depot,93.7,78708.00000000001,11244.0
NW_10,Värmdö FC,95.6,80303.99999999999,11471.999999999998
