day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
1,PL001,10.505226,54.494774,0.0,60.0,30.0
2,PL001,0.0,0.0,45.505226,60.0,30.0
3,PL001,3.6724739,45.327526,0.0,60.0,30.0
4,PL001,0.0,0.0,40.672474,60.0,30.0
5,PL001,30.0,11.0,0.0,60.0,30.0
6,PL001,30.0,40.0,0.0,60.0,30.0
7,PL001,30.0,35.0,0.0,60.0,30.0
1,PL002,0.0,30.384892,28.615108,60.0,38.0
2,PL002,0.0,39.0,0.0,60.0,38.0
3,PL002,0.0,36.0,0.0,60.0,38.0
4,PL002,2.4136691,0.0,38.586331,60.0,38.0
5,PL002,38.0,11.413669,0.0,60.0,38.0
6,PL002,38.0,40.0,0.0,60.0,38.0
7,PL002,38.0,32.0,0.0,60.0,38.0
1,PL003,0.0,43.289902,26.710098,60.0,55.0
2,PL003,0.0,1.4918567,40.508143,60.0,55.0
3,PL003,0.0,6.1107492,43.889251,60.0,55.0
4,PL003,1.3029316,0.0,46.697068,60.0,55.0
5,PL003,53.302932,0.0,0.0,60.0,55.0
6,PL003,55.0,34.302932,0.0,60.0,55.0
7,PL003,55.0,39.0,0.0,60.0,55.0
1,PL004,0.0,69.0,0.0,60.0,61.0
2,PL004,0.0,38.0,0.0,60.0,61.0
3,PL004,0.0,0.1641791,35.835821,60.0,61.0
4,PL004,0.0,0.0,35.0,60.0,61.0
5,PL004,36.0,0.0,0.0,60.0,61.0
6,PL004,61.0,19.0,0.0,60.0,61.0
7,PL004,61.0,46.0,0.0,60.0,61.0
1,PL005,0.0,83.0,0.0,60.0,73.0
2,PL005,0.0,32.0,0.0,60.0,73.0
3,PL005,4.2508591,0.0,40.749141,60.0,73.0
4,PL005,41.250859,0.0,0.0,60.0,73.0
5,PL005,73.0,12.250859,0.0,60.0,73.0
6,PL005,73.0,46.0,0.0,60.0,73.0
7,PL005,73.0,43.0,0.0,60.0,73.0
1,PL006,0.0,73.0,0.0,60.0,78.0
2,PL006,0.0,7.4628975,41.537102,60.0,78.0
3,PL006,6.7985866,38.201413,0.0,60.0,78.0
4,PL006,0.0,0.0,42.798587,60.0,78.0
5,PL006,45.0,0.0,0.0,60.0,78.0
