warehouse_id,name,processing_rate_per_hour,capacity_horizon,cap_day
EW_1,Stockholm Hub,96.2,48484.8,6926.400000000001
EW_2,Eskilstuna FC,91.5,46116.0,6588.0
NW_1,Barkarby Hub,95.8,48283.2,6897.599999999999
NW_2,Tumba Depot,94.3,47527.2,6789.599999999999
NW_3,Sollentuna FC,96.5,48636.0,6948.0
NW_4,Haninge Hub,92.1,46418.399999999994,6631.199999999999
NW_5,Upplands Väsby,95.0,47880.0,6840.0
NW_6,Tyresö Depot,91.2,45964.8,6566.400000000001
NW_7,Vallentuna FC,96.0,48384.0,6912.0
NW_8,Nynäshamn Hub,90.5,45612.0,6516.0
NW_9,Ekerö Depot,93.7,47224.8,6746.400000000001
NW_10,Värmdö FC,95.6,48182.399999999994,6883.199999999999
